"Date","pla","somupvtsem","laimax","laisen_n","hauteur","raint","trg_n","ilevs","iamfs","ilaxs","densite","demande","codebbch_output","masec_n","masecveg","masec_kg_ha","mafeuil_kg_ha","matigestruc_kg_ha","QNfeuilleres","QNtige","lai_n","iflos","idrps","imats","irecs","mafruit","tetp_n","Plant"
2025-01-01,"ble",0,0,0,0,0,2.5992,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.09028,"plant_1"
2025-01-02,"ble",0,0,0,0,0,5.436,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.32079,"plant_1"
2025-01-03,"ble",0,0,0,0,0,5.1084,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.56622,"plant_1"
2025-01-04,"ble",0,0,0,0,0,1.7172,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.70674,"plant_1"
2025-01-05,"ble",0,0,0,0,0,4.1976,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.36338,"plant_1"
2025-01-06,"ble",0,0,0,0,0,6.7716,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.86062,"plant_1"
2025-01-07,"ble",0,0,0,0,0,6.9912,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.53645,"plant_1"
2025-01-08,"ble",0,0,0,0,0,7.2828,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.18344,"plant_1"
2025-01-09,"ble",0,0,0,0,0,5.4036,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.69268,"plant_1"
2025-01-10,"ble",0,0,0,0,0,2.628,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.9685,"plant_1"
2025-01-11,"ble",0,0,0,0,0,5.6376,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.24124,"plant_1"
2025-01-12,"ble",0,0,0,0,0,8.334,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.6992,"plant_1"
2025-01-13,"ble",0,0,0,0,0,8.5824,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.37775,"plant_1"
2025-01-14,"ble",0,0,0,0,0,8.3412,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.28443,"plant_1"
2025-01-15,"ble",0,0,0,0,0,8.4744,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.3335,"plant_1"
2025-01-16,"ble",0,0,0,0,0,7.5204,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.68819,"plant_1"
2025-01-17,"ble",0,0,0,0,0,8.8236,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.58178,"plant_1"
2025-01-18,"ble",0,0,0,0,0,8.3484,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.46326,"plant_1"
2025-01-19,"ble",0,0,0,0,0,7.4664,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.52844,"plant_1"
2025-01-20,"ble",0,0,0,0,0,3.3732,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.36045,"plant_1"
2025-01-21,"ble",0,0,0,0,0,3.9924,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.48631,"plant_1"
2025-01-22,"ble",0,0,0,0,0,3.33,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.43418,"plant_1"
2025-01-23,"ble",0,0,0,0,0,8.6076,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.50716,"plant_1"
2025-01-24,"ble",0,0,0,0,0,4.3056,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.36904,"plant_1"
2025-01-25,"ble",0,0,0,0,0,6.7968,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.72315,"plant_1"
2025-01-26,"ble",0,0,0,0,0,7.1244,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.54463,"plant_1"
2025-01-27,"ble",0,0,0,0,0,6.1056,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.79689,"plant_1"
2025-01-28,"ble",0,0,0,0,0,6.7752,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,1.09971,"plant_1"
2025-01-29,"ble",0,0,0,0,0,8.406,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,1.00463,"plant_1"
2025-01-30,"ble",0,0,0,0,0,3.4848,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.61091,"plant_1"
2025-01-31,"ble",0,0,0,0,0,9.2592,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.98527,"plant_1"
2025-02-01,"ble",0,0,0,0,0,6.2208,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.8811,"plant_1"
2025-02-02,"ble",0,0,0,0,0,8.208,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.84261,"plant_1"
2025-02-03,"ble",0,0,0,0,0,10.9548,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.60913,"plant_1"
2025-02-04,"ble",0,0,0,0,0,11.214,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.51214,"plant_1"
2025-02-05,"ble",0,0,0,0,0,11.4012,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.55898,"plant_1"
2025-02-06,"ble",0,0,0,0,0,11.376,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,1.18604,"plant_1"
2025-02-07,"ble",0,0,0,0,0,7.4916,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.66431,"plant_1"
2025-02-08,"ble",0,0,0,0,0,0.9684,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.34664,"plant_1"
2025-02-09,"ble",0,0,0,0,0,9.4428,63,105,136,268,0,-1,0,0,0,0,0,0,0,0,149,149,178,0,0,0.6177,"plant_1"
